song,artist,url,lyrics,year
Winter,Tori Amos,https://www.azlyrics.com/lyrics/toriamos/winter.html,"Snow can wait. I forgot my mittens
Wipe my nose
Get my new boots on

I get a little warm in my heart
When I think of winter
I put my hand in my father's glove

I run off
Where the drifts get deeper
Sleeping beauty trips me with a frown

I hear a voice,
""You must learn to stand up for yourself
'Cause I can't always be around.""

He says
When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses are still in bed
I tell you that I'll always want you near
You say that things change, my dear

Boys get discovered
As winter melts
Flowers competing for the sun

Years go by
And I'm here still waiting
Withering where some snowman was

Mirror mirror
Where's the crystal palace
But I only can see myself

Skating around the truth
Who I am
But I know, dad, the ice is getting thin

When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses are still in bed
I tell you that I'll always want you near
You say that things change my dear

Hair is grey
And the fires are burning
So many dreams on the shelf

You say I wanted you
To be proud of me
I always wanted that myself

When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses have gone ahead
I tell you that I'll always want you near
You say that things change, my dear

Never change
All the white horses",1992
Boulevard of Broken Dreams,Green Day,https://www.azlyrics.com/lyrics/greenday/boulevardofbrokendreams.html,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me and I walk alone

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk alone

I walk alone
I walk alone
I walk alone
I walk a...

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah, ah-ah

I'm walking down the line
That divides me somewhere in my mind
On the border line
Of the edge and where I walk alone

Read between the lines
Of what's fucked up and everything's alright
Check my vital signs
To know I'm still alive and I walk alone

I walk alone
I walk alone
I walk alone
I walk a...

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah

I walk alone
I walk a...

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk a...

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone...",2004
Eleanor Rigby,The Beatles,https://www.azlyrics.com/lyrics/beatles/eleanorrigby.html,"Ah, look at all the lonely people
Ah, look at all the lonely people

Eleanor Rigby picks up the rice in the church where a wedding has been
Lives in a dream
Waits at the window, wearing the face that she keeps in a jar by the door
Who is it for?

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Father McKenzie writing the words of a sermon that no one will hear
No one comes near
Look at him working, darning his socks in the night when there's nobody there
What does he care?

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Ah, look at all the lonely people
Ah, look at all the lonely people

Eleanor Rigby died in the church and was buried along with her name
Nobody came
Father McKenzie wiping the dirt from his hands as he walks from the grave
No one was saved

All the lonely people
(Ah, look at all the lonely people)
Where do they all come from?
All the lonely people
(Ah, look at all the lonely people)
Where do they all belong?",1966
Hope There's Someone,Antony and the Johnsons,https://www.azlyrics.com/lyrics/antonyandthejohnsons/hopetheressomeone.html,"Hope there's someone
Who'll take care of me
When I die, will I go?

Hope there's someone
Who'll set my heart free
Nice to hold when I'm tired

There's a ghost on the horizon
When I go to bed
How can I fall asleep at night?
How will I rest my head?

Oh I'm scared of the middle place
Between light and nowhere
I don't want to be the one
Left in there, left in there

There's a man on the horizon
Wish that I'd go to bed
If I fall to his feet tonight
Will allow rest my head?

So here's hoping I will not drown
Or paralyze in light
And godsend I don't want to go
To the seal's watershed

Hope there's someone
Who'll take care of me
When I die, will I go?

Hope there's someone
Who'll set my heart free
Nice to hold when I'm tired",2005
Cannonball,Damien Rice,https://www.azlyrics.com/lyrics/damienrice/cannonball.html,"Still a little bit of your taste in my mouth
Still a little bit of you laced with my doubt
Still a little hard to say what's going on

Still a little bit of your ghost, your witness
Still a little bit of your face I haven't kissed
You step a little closer each day
That I can't say what's going on

Stones taught me to fly
Love â it taught me to lie
Life â it taught me to die
So it's not hard to fall
When you float like a cannonball

Still a little bit of your song in my ear
Still a little bit of your words I long to hear
You step a little closer to me
So close that I can't see what's going on

Stones taught me to fly
Love â it taught me to lie
Life taught me to die
So it's not hard to fall
When you float like a cannon

Stones taught me to fly
Love taught me to cry
So come on, courage, teach me to be shy
'Cause it's not hard to fall
And I don't wanna scare her
It's not hard to fall
And I don't wanna lose
It's not hard to grow
When you know that you just don't know",2003
Goodbye,Archive,https://www.azlyrics.com/lyrics/archive/goodbye.html,"I'm thinking of you
In my sleep
They're not good thoughts
The worst kind of sad
I've noticed things
Cannot be repaired
When I wake up
I'll be in despair

'Cause I know I've got to say
I know I've got to say
Goodbye
Baby goodbye
Goodbye
Baby goodbye
You're my sweetheart
Goodbye
You're my sweetest
Goodbye

I know I'm gonna look
So so so so bad
But there's no easier way
For me to have to walk away
But I don't want to hear this no more
And I don't want to feel this no more
And I don't want to see this no more
And I don't want to experience this no more

'Cause I know I've got to say
I know I've got to say
Goodbye
Baby goodbye
Goodbye
Baby goodbye
You're my sweetheart
Goodbye
You're my sweetest
Goodbye
Goodbye
Goodbye
Goodbye (You're my sweetest)
...",2002
For My Fallen Angel,My Dying Bride,https://www.azlyrics.com/lyrics/mydyingbride/formyfallenangel.html,"As I draw up my breath,
And silver fills my eyes.
I kiss her still,
For she will never rise.

On my weak body,
Lays her dying hand.
Through those meadows of Heaven,
Where we ran.

Like a thief in the night,
The wind blows so light.
It wars with my tears,
That won't dry for many years.

""Loves golden arrow
At her should have fled,
And not Deaths ebon dart
To strike her dead.""",1996
Forget Her,Jeff Buckley,https://www.azlyrics.com/lyrics/jeffbuckley/forgether.html,"While this town is busy sleeping,
All the noise has died away.
I walk the streets to stop my weeping,
'Cause she'll never change her ways.

Don't fool yourself, she was heartache from the moment that you met her.
Ah, my heart feels so still as I try to find the will to forget her, somehow.
Ooh, I think I've forgotten her now.

Her love is a rose, pale and dying.
Dropping her petals in land unknown
All full of wine, the world before her, was sober with no place to go.

Don't fool yourself, she was heartache from the moment that you met her.
My heart is frozen still as I try to find the will to forget her, somehow.
She's somewhere out there now.

[Guitar Solo]

Well my tears falling down as I try to forget,
Her love was a joke from the day that we met.
All of the words, all of her men,
All of my pain when I think back to when.

Remember her hair as it shone in the sun,
The smell of the bed when I knew what she'd done.
Tell yourself over and over you won't ever need her again.

But don't fool yourself,
She was heartache from the moment that you met her.
Oh, my heart is frozen still as I try to find the will to forget her, somehow.
She's out there somewhere now.

Oh She was heartache from the day that I first met her.
My heart is frozen still as I try to find the will to forget you, somehow.
'Cause I know you're somewhere out there right now",
Wise Up,Aimee Mann,https://www.azlyrics.com/lyrics/aimeemann/wiseup.html,"It's not what you thought
When you first began it
You got what you want
Now you can hardly stand it, though
By now you know
It's not going to stop
It's not going to stop
It's not going to stop
Till you wise up

You're sure there's a cure
And you have finally found it
You think one drink
Will shrink you till you're underground
And living down
But it's not going to stop
It's not going to stop
It's not going to stop
Till you wise up

Prepare a list for what you need
Before you sign away the deed
'Cause it's not going to stop
It's not going to stop
It's not going to stop
Till you wise up

No, it's not going to stop
Till you wise up
No, it's not going to stop
So just give up",
You Could Be Happy,Snow Patrol,https://www.azlyrics.com/lyrics/snowpatrol/youcouldbehappy.html,"You could be happy and I won't know
But you weren't happy the day I watched you go

And all the things that I wished I had not said
Are played in loops 'till it's madness in my head

Is it too late to remind you how we were
But not our last days of silence, screaming, blur

Most of what I remember makes me sure
I should have stopped you from walking out the door

You could be happy, I hope you are
You made me happier than I'd been by far

Somehow everything I own smells of you
And for the tiniest moment it's all not true

Do the things that you always wanted to
Without me there to hold you back, don't think, just do

More than anything I want to see you, girl
Take a glorious bite out of the whole world",2006
Last Kiss,Pearl Jam,https://www.azlyrics.com/lyrics/pearljam/lastkiss.html,"[Chorus:]
Oh where, oh where, can my baby be?
The Lord took her away from me.
She's gone to heaven so I've got to be good,
So I can see my baby when I leave this world.

We were out on a date in my daddy's car,
We hadn't driven very far.
There in the road straight ahead,
A car was stalled, the engine was dead.

I couldn't stop, so I swerved to the right,
I'll never forget the sound that night.
The screaming tires, the busting glass,
The painful scream that I heard last.

[Chorus]

When I woke up, the rain was pouring down,
There were people standing all around.
Something warm flowing through my eyes,
But somehow I found my baby that night.

I lifted her head, she looked at me and said,
""Hold me darling just a little while.""
I held her close, I kissed her our last kiss,
I found the love that I knew I had missed.

Well now she's gone even though I hold her tight,
I lost my love, my life that night.

[Chorus]",2003
Both Sides Now,Joni Mitchell,https://www.azlyrics.com/lyrics/jonimitchell/bothsidesnow.html,"Rows and flows of angel hair
And ice cream castles in the air
And feather canyons everywhere
I've looked at clouds that way

But now they only block the sun
They rain and they snow on everyone
So many things I would have done
But clouds got in my way

I've looked at clouds from both sides now
From up and down, and still somehow
It's cloud illusions I recall
I really don't know clouds at all

Moons and Junes and Ferris wheels
The dizzy dancing way that you feel
As every fairy tale comes real
I've looked at love that way

But now it's just another show
You leave 'em laughing when you go
And if you care, don't let them know
Don't give yourself away

I've looked at love from both sides now
From give and take, and still somehow
It's love's illusions I recall
I really don't know love at all

Tears and fears and feeling proud
To say ""I love you"" right out loud
Dreams and schemes and circus crowds
I've looked at life that way

Oh, but now old friends they're acting strange
They shake their heads, and they tell me I've changed
Well something's lost, but something's gained
In living every day

I've looked at life from both sides now
From win and lose and still somehow
It's life's illusions I recall
I really don't know love at all

It's life's illusions that I recall
I really don't know life at all",1969
